Label,Median,Max,90% Line
CustomerMTM,1,42,2
CustomerRepoMTMDay,8,40,10
PLJava2Weeks,14,57,20
PLJavaMonth,8,57,9
PLJavaHalfYear,11,56,13
PLJavaYear,9,70,11
PLJavaYearPortfolio,1,50,2
PLJavaMonthBranch,53,104,60
PLJavaYearBranch,49,108,59
PositionJava,8,162,9
PositionJavaProfitCenter,1,26,1
PositionJavaBranch,1,68,50
PositionFlowDay,4,156,4
PositionFlowWeek,16,168,16
PositionFlowMonth,2,33,2
PositionFlowYear,4,36,4
TradesMTMDay,229,426,234
TradesMTMDayProfitCenter,10,59,21
TradesMTMMonthProfitCenter,10,59,22
TradesMTMJavaCollateral,0,0,0
MarginCallBlotterYear,0,24,0
MarginCallBlotterMonth,0,0,0
CommissionBlotterYear,0,18,0
CustomerFundsReportDay,0,13,0
RepoMTMDay,5,14,5
PositionByCcyDay,11,51,12
PositionByCcyPairDay,11,12,11
TradingDay,11,17,12
BrokerageReq1,15,288,15
BrokerageReq2,15,24,17
BrokerageReq3,12,15,12
AssetFlowReportDay,19,219,62
AssetFlowReportMonth,26,67,28
AssetFlowReportHalfYear,154,209,167
AssetFlowReportYear,320,762,370
TOTAL,1,762,47
