Label,Median,90% Line,Max
CustomerMTM,1547,2774,42709
CustomerRepoMTMDay,8846,10646,40690
PLJava2Weeks,14565,20377,57251
PLJavaMonth,8789,9709,57062
PLJavaHalfYear,11784,13441,56683
PLJavaYear,9254,11468,70777
PLJavaYearPortfolio,1921,2314,50590
PLJavaMonthBranch,53164,60871,104781
PLJavaYearBranch,49023,59847,108599
PositionJava,8628,9151,162350
PositionJavaProfitCenter,1408,1761,26478
PositionJavaBranch,1848,50525,68606
PositionFlowDay,4264,4564,156933
PositionFlowWeek,16366,16954,168189
PositionFlowMonth,2151,2370,33604
PositionFlowYear,4327,4516,36993
TradesMTMDay,229000,234774,426389
TradesMTMDayProfitCenter,10967,21308,59800
TradesMTMMonthProfitCenter,10689,22171,59798
TradesMTMJavaCollateral,116,121,274
MarginCallBlotterYear,761,813,24421
MarginCallBlotterMonth,757,779,833
CommissionBlotterYear,493,511,18790
CustomerFundsReportDay,329,342,13418
RepoMTMDay,5072,5190,14456
PositionByCcyDay,11324,12125,51441
PositionByCcyPairDay,11531,11863,12108
TradingDay,11000,12070,17875
BrokerageReq1,15585,15823,288126
BrokerageReq2,15347,17990,24030
BrokerageReq3,12082,12184,15811
AssetFlowReportDay,19127,62617,219033
AssetFlowReportMonth,26479,28513,67403
AssetFlowReportHalfYear,154757,167363,209036
AssetFlowReportYear,320663,370199,762339
TOTAL,1797,47390,762339
