Label,Median,Max,90% Line
CustomerMTM,1547,42709,2774
CustomerRepoMTMDay,8846,40690,10646
PLJava2Weeks,14565,57251,20377
PLJavaMonth,8789,57062,9709
PLJavaHalfYear,11784,56683,13441
PLJavaYear,9254,70777,11468
PLJavaYearPortfolio,1921,50590,2314
PLJavaMonthBranch,53164,104781,60871
PLJavaYearBranch,49023,108599,59847
PositionJava,8628,162350,9151
PositionJavaProfitCenter,1408,26478,1761
PositionJavaBranch,1848,68606,50525
PositionFlowDay,4264,156933,4564
PositionFlowWeek,16366,168189,16954
PositionFlowMonth,2151,33604,2370
PositionFlowYear,4327,36993,4516
TradesMTMDay,229000,426389,234774
TradesMTMDayProfitCenter,10967,59800,21308
TradesMTMMonthProfitCenter,10689,59798,22171
TradesMTMJavaCollateral,116,274,121
MarginCallBlotterYear,761,24421,813
MarginCallBlotterMonth,757,833,779
CommissionBlotterYear,493,18790,511
CustomerFundsReportDay,329,13418,342
RepoMTMDay,5072,14456,5190
PositionByCcyDay,11324,51441,12125
PositionByCcyPairDay,11531,12108,11863
TradingDay,11000,17875,12070
BrokerageReq1,15585,288126,15823
BrokerageReq2,15347,24030,17990
BrokerageReq3,12082,15811,12184
AssetFlowReportDay,19127,219033,62617
AssetFlowReportMonth,26479,67403,28513
AssetFlowReportHalfYear,154757,209036,167363
AssetFlowReportYear,320663,762339,370199
TOTAL,1797,762339,47390
